[19:45]: Collected image: datasets\User.1.81.jpg
[19:45]: Collected image: datasets\User.1.82.jpg
[19:45]: Collected image: datasets\User.1.83.jpg
[19:45]: Collected image: datasets\User.1.84.jpg
[19:45]: Collected image: datasets\User.1.85.jpg
[19:45]: Collected image: datasets\User.1.86.jpg
[19:45]: Collected image: datasets\User.1.87.jpg
[19:45]: Collected image: datasets\User.1.88.jpg
[19:45]: Collected image: datasets\User.1.89.jpg
[19:45]: Collected image: datasets\User.1.90.jpg
[19:45]: Collected image: datasets\User.1.91.jpg
[19:45]: Collected image: datasets\User.1.92.jpg
[19:45]: Collected image: datasets\User.1.93.jpg
[19:45]: Collected image: datasets\User.1.94.jpg
[19:45]: Collected image: datasets\User.1.95.jpg
[19:45]: Collected image: datasets\User.1.96.jpg
[19:45]: Collected image: datasets\User.1.97.jpg
[19:45]: Collected image: datasets\User.1.98.jpg
[19:45]: Collected image: datasets\User.1.99.jpg
[19:45]: Collected image: datasets\User.1.100.jpg
[19:45]: Finished collecting faces for ID: 1, Name: Charles 
[19:45]: Motion Detected
[19:45]: Training completed successfully
[19:46]: Motion Detected
[19:46]: Face Detected: Unknown
[19:46]: Face Detected: Charles
[19:46]: Motion Detected
[19:46]: Face Detected: Unknown
[19:46]: Face Detected: Charles
[19:46]: Motion Detected
[19:46]: Motion Detected
[19:46]: Motion Detected
[19:46]: Face Detected: Unknown
[19:46]: Face Detected: Charles
[19:47]: Motion Detected
[19:47]: Face Detected: Charles
[19:47]: Motion Detected
[19:47]: Face Detected: Unknown
[19:47]: Face Detected: Charles
[19:47]: Motion Detected
[19:47]: Face Detected: Unknown
[19:47]: Face Detected: Charles
[19:47]: Motion Detected
[19:47]: Face Detected: Charles
[19:47]: Face Detected: Unknown
[19:47]: Deleted user ID: 1, Name: Charles
[19:47]: Trainer.yml deleted
[19:47]: Insufficient data for training. Need at least two samples.
[19:47]: Motion Detected
[19:48]: Motion Detected
[19:48]: Motion Detected
[19:48]: Trainer.yml not found, starting without pre-trained recognizer
[19:48]: Trainer.yml not found, starting without pre-trained recognizer
[19:48]: Motion Detected
[19:48]: Collected image: datasets\User.1.1.jpg
[19:48]: Collected image: datasets\User.1.2.jpg
[19:48]: Collected image: datasets\User.1.3.jpg
[19:48]: Collected image: datasets\User.1.4.jpg
[19:48]: Collected image: datasets\User.1.5.jpg
[19:48]: Collected image: datasets\User.1.6.jpg
[19:48]: Collected image: datasets\User.1.7.jpg
[19:48]: Collected image: datasets\User.1.8.jpg
[19:48]: Collected image: datasets\User.1.9.jpg
[19:48]: Motion Detected
[19:48]: Collected image: datasets\User.1.10.jpg
[19:48]: Collected image: datasets\User.1.11.jpg
[19:48]: Collected image: datasets\User.1.12.jpg
[19:48]: Collected image: datasets\User.1.13.jpg
[19:48]: Collected image: datasets\User.1.14.jpg
[19:48]: Collected image: datasets\User.1.15.jpg
[19:48]: Collected image: datasets\User.1.16.jpg
[19:48]: Collected image: datasets\User.1.17.jpg
[19:48]: Collected image: datasets\User.1.18.jpg
[19:48]: Collected image: datasets\User.1.19.jpg
[19:48]: Collected image: datasets\User.1.20.jpg
[19:48]: Collected image: datasets\User.1.21.jpg
[19:48]: Collected image: datasets\User.1.22.jpg
[19:48]: Collected image: datasets\User.1.23.jpg
[19:48]: Collected image: datasets\User.1.24.jpg
[19:48]: Collected image: datasets\User.1.25.jpg
[19:48]: Collected image: datasets\User.1.26.jpg
[19:48]: Collected image: datasets\User.1.27.jpg
[19:48]: Collected image: datasets\User.1.28.jpg
